path,label,audio
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec0.npy,disgust,"[0.00000000e+00 6.31971380e-01 1.97082289e-01 5.42796540e-01
 6.68322610e-01 6.92581274e-01 5.19046458e-01 6.59096409e-01
 8.58920657e-01 8.00253325e-01 7.95775890e-01 5.66189481e-01
 0.00000000e+00 5.41335712e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.54104068e-01 0.00000000e+00
 1.00000000e+00 9.43653324e-01 9.30685832e-01 9.86412721e-01
 9.94304183e-01 9.88487541e-01 9.98223761e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 9.97308780e-01 9.95699281e-01
 9.91266027e-01 9.80959656e-01 9.85683792e-01 9.90976839e-01
 9.88035329e-01 9.85115303e-01 9.85486433e-01 9.96118031e-01
 9.89142771e-01 9.78091720e-01 9.97072042e-01 9.99287880e-01
 9.97376923e-01 1.00000000e+00 1.00000000e+00 9.98960064e-01
 1.00000000e+00 9.97863157e-01 9.97681141e-01 1.00000000e+00
 9.75483929e-01 9.58369153e-01 9.81117691e-01 9.73354294e-01
 9.66174074e-01 9.74684890e-01 9.62541783e-01 9.37235833e-01
 9.26840263e-01 9.28775661e-01 8.87528105e-01 8.74606357e-01
 7.39297207e-01 7.20903119e-01 7.47596092e-01 7.00455630e-01
 5.76611668e-01 4.76861929e-01 4.83191057e-01 3.17755037e-01
 2.98525619e-01 2.96713262e-01 2.15313612e-01 2.42282766e-01
 3.55810788e-01 3.14024192e-01 2.40742991e-01 3.16813031e-01
 3.41576152e-01 1.76420375e-01 1.64463565e-01 1.51382188e-01
 1.56776002e-01 1.73494564e-01 1.56509738e-01 1.45781876e-01
 1.44559680e-01 1.56531026e-01 1.47391620e-01 1.57389923e-01
 1.44557471e-01 1.39744373e-01 1.54935707e-01 1.65643719e-01
 1.79562197e-01 1.48394605e-01 1.40685737e-01 1.57819936e-01
 1.77482527e-01 2.46284643e-01 3.36150788e-01 1.99574759e-01
 1.99901030e-01 2.50607368e-01 2.24210048e-01 1.64338758e-01
 2.03579901e-01 2.17494990e-01 1.97625799e-01 1.73341935e-01
 1.74775051e-01 2.01660139e-01 1.25522060e-01 6.55520538e-02
 5.58338323e-02 6.85806686e-02 1.01077504e-01 1.17130206e-01
 1.31293379e-01 1.70904530e-01 2.26602248e-01 2.16396481e-01
 1.21685436e-01 1.16855300e-01 1.19574036e-01 1.63986880e-01
 1.87331881e-01 1.57327161e-01 1.27440584e-01 1.66370125e-01
 1.59171964e-01 3.13812599e-01 2.73078389e-01 2.04654040e-01
 9.86243251e-02 4.78397747e-02 6.89218126e-02 9.56910707e-02
 1.10093417e-01 1.01425317e-01 9.64012769e-02 9.05998613e-02
 7.65104776e-02 0.00000000e+00 0.00000000e+00 5.78663662e-05
 6.12067540e-05 7.02397484e-05 0.00000000e+00 0.00000000e+00
 1.00000000e+00 3.66488642e-02 0.00000000e+00 3.24172208e-01
 4.18756071e-01 3.74858306e-01 3.45179994e-01 0.00000000e+00
 8.33784151e-03 9.67203906e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00]"
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec0.npy,angry,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         1.         1.
 1.         1.         1.         0.99996406 0.99915582 0.99735863
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.99853148 0.9974948  1.
 0.99418242 1.         1.         0.99685566 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.         0.         0.01130304 0.
 0.         0.         0.         1.         0.         1.
 0.01568881 0.95364102 0.02008244 0.00415614]"
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec0.npy,fear,"[0.07442055 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.038816   0.         0.83870288 0.34743284 0.18812737 0.10600261
 0.68933578 0.57607106 0.75651105 0.18789746 0.7110427  0.01186686
 0.55787137 0.22859469 0.56812448 0.11402452 0.64314181 0.03945372
 1.         0.12944104 0.51770119 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.01809309 0.00731812 0.         0.         0.
 0.07911816 0.05798379 0.92062094 1.         1.         1.
 1.         1.         1.         0.10135973 1.         0.
 1.         0.         1.         1.        ]"
path,label,audio
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec1.npy,angry,"[0.00000000e+00 2.88010672e-01 9.54950163e-02 1.26020353e-01
 8.95133730e-02 2.39374095e-01 2.27198848e-01 1.25617884e-01
 2.28405350e-01 3.86399131e-01 4.84954339e-01 3.23765280e-01
 7.36094688e-02 2.66988382e-01 9.61492626e-01 1.00000000e+00
 1.00000000e+00 2.34002653e-01 0.00000000e+00 0.00000000e+00
 5.59762384e-01 1.00000000e+00 1.00000000e+00 8.63603368e-01
 3.22296680e-01 9.63040763e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.13685852e-02
 1.89091406e-01 7.09155688e-01 3.14231305e-01 6.58337247e-01
 9.61422813e-01 9.91156513e-01 1.00000000e+00 1.00000000e+00
 9.98420001e-01 9.99488379e-01 9.99115612e-01 9.97580349e-01
 9.97272507e-01 9.92123019e-01 9.58057955e-01 9.68333467e-01
 9.69389913e-01 9.85010059e-01 9.93724074e-01 9.95480055e-01
 0.00000000e+00 8.14285291e-01 9.47170872e-01 9.34936070e-01
 7.89492813e-01 8.41396213e-01 9.33450532e-01 9.60364814e-01
 9.60192313e-01 9.66506883e-01 9.66906124e-01 9.25631099e-01
 9.70203918e-01 9.75847946e-01 9.18525350e-01 7.75490230e-01
 8.24203391e-01 6.59734792e-01 0.00000000e+00 4.13965295e-01
 3.72683550e-01 1.12925737e-01 1.58137988e-01 1.24218482e-01
 2.37209620e-01 2.53284790e-01 1.26893140e-01 1.04326237e-01
 4.95435713e-02 1.12384572e-01 1.48755545e-01 2.58520835e-01
 1.29805784e-01 9.87393546e-02 3.39079644e-02 4.27132283e-02
 1.15594658e-01 3.04712872e-02 2.47606741e-02 9.86571870e-02
 1.64197469e-01 3.35328058e-02 9.25077163e-03 1.59345257e-02
 2.42717428e-02 0.00000000e+00 0.00000000e+00 6.01838873e-04
 2.59506163e-03 2.52639265e-03 1.08193769e-02 1.93100421e-03
 2.79332686e-03 3.35892096e-03 2.74990366e-03 1.92900162e-03
 0.00000000e+00 2.57249428e-03 3.04831883e-04 5.96267684e-04
 1.91854177e-03 1.04132026e-02 3.66856938e-02 8.20818218e-03
 0.00000000e+00 4.72387356e-04 5.20550789e-04 4.27203482e-04
 6.14272761e-04 1.23938590e-03 1.54733293e-03 2.93608379e-04
 8.64501741e-03 6.65303323e-03 0.00000000e+00 9.13300632e-05
 1.20696301e-04 1.93723618e-04 3.97807386e-04 5.38752462e-04
 5.18274143e-04 1.00913327e-03 2.72039416e-03 3.22496300e-03
 0.00000000e+00 2.38823011e-04 5.47645155e-04 1.11012980e-03
 1.08903411e-03 6.74723664e-04 3.18167526e-04 5.16790179e-04
 5.74459976e-04 8.99350436e-04 9.01024108e-04 1.11870428e-03
 5.93716809e-04 2.21777181e-04 9.57094115e-04 2.55216441e-04
 2.84133815e-04 2.69050896e-04 2.44401230e-04 2.36231133e-04
 1.67734115e-04 0.00000000e+00 0.00000000e+00 1.37508539e-07
 1.40161072e-07 1.56401465e-07 0.00000000e+00 0.00000000e+00
 9.08710540e-01 5.55158247e-01 5.07057173e-01 9.39663387e-01
 7.88148143e-01 6.84079935e-01 3.64218919e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00]"
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec1.npy,angry,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.         0.         0.         1.
 1.         1.         0.         0.         0.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99789579 0.99914289 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.15288093 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.67108877 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         1.         0.39322109 0.64718564
 0.30412219 0.98392332 0.43771117 0.46393272]"
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec1.npy,fear,"[1.32201625e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 9.60498993e-01
 4.64542398e-01 0.00000000e+00 2.03765026e-02 2.19194540e-01
 1.00000000e+00 9.67126715e-01 5.46284011e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.42518416e-02 4.28478042e-02
 1.02527823e-01 2.61844951e-01 4.91961430e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.14943130e-05 2.03470488e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.75797942e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.86240646e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.19341645e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.84680490e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.96450059e-05 1.35682823e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.48084863e-03 7.48488934e-03
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.90341972e-02
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00]"
path,label,audio
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec2.npy,neutral,"[0.00000000e+00 1.71780485e-01 0.00000000e+00 2.26788115e-01
 3.60255148e-01 0.00000000e+00 1.36761552e-01 7.35087492e-02
 9.25813480e-02 6.65051603e-01 6.13727433e-01 3.36460115e-01
 0.00000000e+00 2.69977464e-01 9.13446110e-01 1.00000000e+00
 1.00000000e+00 3.04431254e-01 0.00000000e+00 0.00000000e+00
 7.37387349e-01 1.00000000e+00 8.94348947e-01 7.67915065e-01
 2.15065734e-01 0.00000000e+00 1.00000000e+00 5.20797102e-01
 9.04964762e-02 3.23728282e-01 0.00000000e+00 8.06035397e-01
 4.16321726e-01 5.44342493e-01 3.92143356e-01 9.85435941e-01
 9.98469792e-01 9.97796624e-01 9.63341042e-01 9.82188741e-01
 9.85479289e-01 9.59246128e-01 9.96720273e-01 9.98317450e-01
 9.94883711e-01 9.93756066e-01 1.00000000e+00 1.00000000e+00
 9.94087673e-01 1.00000000e+00 1.00000000e+00 9.81746744e-01
 9.92162009e-01 9.91405834e-01 9.51886194e-01 9.77723467e-01
 9.82102621e-01 9.26690072e-01 9.61111535e-01 9.89945155e-01
 9.57373098e-01 8.77162342e-01 1.00000000e+00 1.00000000e+00
 9.62352676e-01 9.39875575e-01 9.33734569e-01 8.84751290e-01
 9.77367842e-01 9.90958396e-01 6.61527914e-01 6.00434337e-01
 8.21910323e-01 7.66826836e-01 6.08908384e-01 9.72029413e-02
 1.47742658e-01 8.03039385e-02 3.73196300e-02 1.17254080e-02
 2.08162433e-02 6.10144799e-02 4.52176133e-02 6.63096887e-02
 1.30946331e-01 4.91821797e-01 4.89046829e-01 1.53659575e-01
 4.13832877e-01 4.34992366e-01 3.96446324e-01 4.61609354e-01
 4.33099933e-01 3.28619354e-01 1.05286317e-01 8.82833943e-02
 4.43732909e-02 2.04608052e-03 1.19822366e-03 0.00000000e+00
 6.67374155e-04 2.11792046e-03 7.12745028e-03 1.07005144e-02
 7.46787870e-03 3.78949110e-03 4.02079038e-03 3.69422096e-03
 2.19972867e-03 3.14411573e-03 8.07156439e-03 5.94205874e-03
 1.63717377e-02 8.58857913e-02 1.39256975e-01 2.25916560e-02
 0.00000000e+00 1.36485627e-02 2.52301601e-02 4.08556000e-03
 7.82741106e-03 8.50715356e-03 1.32657168e-03 2.12967746e-03
 9.89446441e-03 1.15140744e-02 7.37526076e-03 0.00000000e+00
 1.59994016e-04 1.04712640e-03 5.58041404e-03 8.04565094e-03
 1.43984605e-03 1.20047367e-02 3.18232278e-02 1.55265958e-02
 1.95622460e-03 1.94944776e-03 8.37430759e-03 3.03229833e-02
 1.36580140e-02 0.00000000e+00 2.48535582e-04 2.25664172e-03
 2.00383096e-03 2.11787379e-03 4.16427385e-03 5.18327237e-03
 2.74280509e-03 1.51288230e-03 1.49488974e-03 9.94388844e-04
 1.16610726e-03 6.94430931e-04 3.41761867e-04 2.73367721e-04
 2.17634945e-04 0.00000000e+00 0.00000000e+00 1.51352667e-07
 1.58295020e-07 1.83846873e-07 0.00000000e+00 0.00000000e+00
 1.00000000e+00 7.24571827e-01 5.22022032e-01 8.68211793e-01
 6.93862010e-01 5.60765025e-01 3.51076600e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.15746299e-01
 0.00000000e+00 7.42621896e-03]"
/content/drive/MyDrive/Audiofiles/realtimetested/audiorec2.npy,angry,"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.         0.         0.41101356 1.
 1.         1.         0.         0.         0.         1.
 1.         1.         0.6021953  1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         0.99869431 0.99828124
 1.         0.99107354 0.99624723 1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.99887363 0.9946202  1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         1.         0.1354459  1.
 0.53479822 1.         0.28975975 0.        ]"
